Timestamp,,  1. What is your age?  ,2. What is your gender? Male Female Prefer not to say,  3. What is your current occupation?  ,  4. What is your highest educational qualification?  ,  5. Which AI tool do you use most frequently?  ,  6. How often do you use AI tools?  ,"7. On average, how much time do you spend using AI tools each day? ",8. For which of the following purposes do you use AI? (Select all that apply) ,"9. When you are given a new task, how often do you consult AI before attempting it yourself? ","  10. If AI tools were unavailable for a week, how confident would you feel completing your regular tasks?  ","  11. When you receive an answer from AI, how often do you check whether the information is correct?  ",12. How often do you try to solve a problem yourself before asking AI for help? Never,"  13. When AI provides a solution, how often do you try to understand how that solution was reached?  ",14. How often do you compare AI-generated information with other sources before using it? ,15. How often do you use AI to complete a task that you could have completed without AI? ,"  16. When facing a difficult problem, what is usually your first approach?  ","  17. Since you started using AI tools, how has the amount of time you spend researching information changed?  ","  18. Since you started using AI tools, how has the amount of independent thinking you do changed?  ",  19. How often do you accept AI-generated answers without questioning them?  ,"  20. When AI gives an answer that differs from your own understanding, what do you usually do?  ",  21. To what extent has AI improved your productivity?  ,  22. To what extent has AI improved your learning or understanding of new topics?  ,23. How often do you depend on AI for tasks that previously required your own research or analysis? ,"24. In your opinion, does frequent AI use affect a person's independent thinking ability? ","25. Overall, how would you describe AI's impact on your daily decision-making and problem-solving? ",  1. What is your age?  
21-06-2026 22:40,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,"Studying and Learning, Work-related Tasks, Research",Rarely,Extremely confident,Sometimes,Always,Sometimes,Sometimes,Sometimes,"Solve it independently, Search online, Ask a teacher, colleague, or friend",Decreased slightly,Decreased slightly,Rarely,Compare both viewpoints,Slightly,Moderately,Sometimes,Strongly Negative Effect,Neutral,
21-06-2026 22:53,,21–25 years,Female,Student,Higher Secondary,ChatGPT,Often,30–60 minutes,"Studying and Learning, Research",Sometimes,Moderately confident,Always,Rarely,Often,Always,Rarely,"Solve it independently, Ask a teacher, colleague, or friend",Increased significantly,Decreased slightly,Never,Compare both viewpoints,Slightly,Moderately,Never,Strongly Negative Effect,Negative,
21-06-2026 23:03,,26–30 years,Female,Student,Higher Secondary,ChatGPT,Very Often,30–60 minutes,"Studying and Learning, Writing and Communication, Research",Sometimes,Moderately confident,Rarely,Sometimes,Rarely,Rarely,Often,Use a combination of methods,Decreased slightly,No change,Sometimes,Compare both viewpoints,Moderately,Extremely,Often,Somewhat Negative Effect,Positive,
22-06-2026 00:02,,21–25 years,Female,Student and Working Professional,Postgraduate,"ChatGPT, Claude","Sometimes, Often",30–60 minutes,"Studying and Learning, Work-related Tasks, Coding and Programming, Research","Sometimes, Often",Very confident,Often,Always,Often,Often,Sometimes,Ask AI,Decreased significantly,No change,Sometimes,Trust my own understanding completely,Significantly,Significantly,Often,Somewhat Negative Effect,Positive,
22-06-2026 00:06,,26–30 years,Male,Student,Undergraduate,"Gemini, Claude",Rarely,Less than 15 minutes,"Studying and Learning, Other",Rarely,Extremely confident,Often,Always,Always,Often,Never,"Solve it independently, Search online, Ask a teacher, colleague, or friend, Use a combination of methods",Increased slightly,No change,Rarely,"Compare both viewpoints, Usually trust my own understanding",Not at all,Not at all,Never,Strongly Negative Effect,Neutral,
22-06-2026 02:00,,Above 30 years,Female,Student,Postgraduate,"ChatGPT, Gemini, Claude",Very Often,1–2 hours,"Studying and Learning, Writing and Communication, Coding and Programming, Research",Sometimes,Very confident,Often,Often,Always,Often,Often,"Solve it independently, Search online, Ask AI, Use a combination of methods",No change,Increased slightly,Sometimes,"Compare both viewpoints, Usually trust my own understanding",Extremely,Significantly,Sometimes,Somewhat Negative Effect,Neutral,
22-06-2026 09:37,,21–25 years,Female,Student,Undergraduate,"ChatGPT, Claude",Often,30–60 minutes,"Studying and Learning, Research",Often,Moderately confident,Rarely,Sometimes,"Sometimes, Often",Sometimes,"Sometimes, Often",Use a combination of methods,No change,Decreased slightly,Often,Compare both viewpoints,Slightly,Slightly,Often,Somewhat Negative Effect,Negative,
22-06-2026 14:46,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Gemini","Often, Very Often",1–2 hours,"Studying and Learning, Writing and Communication, Work-related Tasks, Research",Sometimes,Moderately confident,Always,Always,Always,Always,Sometimes,"Search online, Ask a teacher, colleague, or friend",Decreased slightly,No change,Never,"Compare both viewpoints, Usually trust my own understanding",Extremely,Extremely,Rarely,"Somewhat Negative Effect, Somewhat Positive Effect",Positive,
23-06-2026 15:43,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,Less than 15 minutes,Studying and Learning,Rarely,Moderately confident,Always,Always,Sometimes,Rarely,Often,"Ask a teacher, colleague, or friend",No change,No change,Rarely,"Compare both viewpoints, Usually trust my own understanding",Not at all,Slightly,Rarely,Somewhat Negative Effect,Neutral,
23-06-2026 15:46,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Gemini",Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Coding and Programming",Sometimes,Moderately confident,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Ask AI,Increased slightly,Increased slightly,Sometimes,"Compare both viewpoints, Usually trust my own understanding",Moderately,Significantly,Rarely,No Effect,Positive,
23-06-2026 17:28,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Gemini",Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research, Entertainment, Other",Rarely,Moderately confident,Rarely,Never,Sometimes,Often,Often,"Ask AI, Ask a teacher, colleague, or friend, Use a combination of methods",Increased significantly,Increased slightly,Often,Usually trust AI,Significantly,Extremely,Often,Somewhat Negative Effect,"Neutral, Positive",
23-06-2026 17:31,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Claude",Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Coding and Programming, Research",Never,Moderately confident,Always,Often,Always,Often,Rarely,Use a combination of methods,Increased slightly,Decreased slightly,Rarely,Compare both viewpoints,Moderately,Moderately,Rarely,Strongly Negative Effect,Neutral,
23-06-2026 18:14,,17,Female,Student,Higher Secondary,ChatGPT,Sometimes,15–30 minutes,Studying and Learning,Sometimes,Moderately confident,Rarely,Always,Sometimes,Always,Rarely,Search online,No change,No change,Never,Compare both viewpoints,Moderately,Significantly,Sometimes,Somewhat Negative Effect,Positive,
23-06-2026 19:20,,17,Female,Student,Higher Secondary,ChatGPT,Often,Less than 15 minutes,"Studying and Learning, Writing and Communication, Other","Rarely, Sometimes",Moderately confident,Always,Rarely,Never,Sometimes,Sometimes,"Search online, Ask a teacher, colleague, or friend, Use a combination of methods",Increased slightly,Decreased slightly,Sometimes,Usually trust my own understanding,Not at all,Slightly,Sometimes,Somewhat Negative Effect,Neutral,
23-06-2026 19:38,,18–20 years,Female,Student,Higher Secondary,I do not use AI tools,Never,Less than 15 minutes,Other,Never,Extremely confident,Always,Always,Always,Always,Always,Search online,No change,No change,Never,Compare both viewpoints,Not at all,Slightly,Never,Strongly Negative Effect,Negative,
23-06-2026 19:58,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,15–30 minutes,Studying and Learning,Rarely,Moderately confident,Sometimes,Never,Often,Often,Never,Solve it independently,Decreased slightly,Increased slightly,Never,Compare both viewpoints,Extremely,Extremely,Sometimes,Somewhat Negative Effect,Positive,
23-06-2026 20:46,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Very Often,15–30 minutes,"Studying and Learning, Writing and Communication, Research",Often,Very confident,Always,Often,Always,Always,Sometimes,Use a combination of methods,Increased significantly,Increased significantly,Rarely,Compare both viewpoints,Slightly,Significantly,Sometimes,Somewhat Negative Effect,Negative,
23-06-2026 20:48,,18–20 years,Female,Student,Undergraduate,ChatGPT,Rarely,15–30 minutes,Studying and Learning,Rarely,Moderately confident,Sometimes,Rarely,Rarely,Rarely,"Never, Sometimes","Ask a teacher, colleague, or friend",Decreased slightly,Increased slightly,Rarely,Compare both viewpoints,Moderately,Significantly,Sometimes,Somewhat Positive Effect,Neutral,
23-06-2026 21:03,,18–20 years,Female,Student,Higher Secondary,Other,Never,Less than 15 minutes,"Studying and Learning, Writing and Communication",Sometimes,Moderately confident,Rarely,Never,Sometimes,Sometimes,Always,Search online,Increased significantly,Increased slightly,Sometimes,Compare both viewpoints,Not at all,Slightly,Often,No Effect,Neutral,
24-06-2026 20:19,,18–20 years,Female,Student,Undergraduate,ChatGPT,Rarely,Less than 15 minutes,Research,Sometimes,Moderately confident,Rarely,Never,Sometimes,Sometimes,Rarely,Search online,Increased slightly,Increased slightly,Sometimes,Usually trust my own understanding,Slightly,Moderately,Rarely,Somewhat Negative Effect,Neutral,
24-06-2026 20:23,,17,Female,Student,Undergraduate,ChatGPT,Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research, Entertainment, Other",Sometimes,Moderately confident,Often,Sometimes,Rarely,Never,Sometimes,Search online,Increased slightly,Increased slightly,Rarely,Compare both viewpoints,Moderately,Slightly,Sometimes,Somewhat Negative Effect,Neutral,
24-06-2026 20:25,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Claude",Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Coding and Programming, Entertainment",Sometimes,"Moderately confident, Very confident",Sometimes,Sometimes,Sometimes,Often,Rarely,Use a combination of methods,No change,No change,Never,Compare both viewpoints,Not at all,Moderately,Sometimes,"Somewhat Negative Effect, Somewhat Positive Effect","Positive, Very Positive",
24-06-2026 20:38,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,"15–30 minutes, 30–60 minutes","Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research, Entertainment",Often,Moderately confident,Rarely,Often,Always,Often,Never,Use a combination of methods,Increased significantly,Decreased slightly,Often,Compare both viewpoints,Moderately,Significantly,Often,Somewhat Negative Effect,Neutral,
24-06-2026 20:41,,18–20 years,Female,Student,Higher Secondary,I do not use AI tools,Rarely,Less than 15 minutes,Writing and Communication,Never,Extremely confident,Never,Never,Never,Rarely,Never,Solve it independently,No change,No change,Never,Trust my own understanding completely,Not at all,Significantly,Never,Strongly Negative Effect,Positive,
24-06-2026 20:41,,17 years,Female,Student,Higher Secondary,ChatGPT,Sometimes,30–60 minutes,"Studying and Learning, Writing and Communication",Sometimes,Moderately confident,Rarely,Often,Sometimes,Sometimes,Often,"Search online, Use a combination of methods",No change,No change,Sometimes,Compare both viewpoints,Slightly,Moderately,Sometimes,Somewhat Negative Effect,Positive,
24-06-2026 20:41,,17  years ,Female,Student,Higher Secondary,ChatGPT,Sometimes,15–30 minutes,"Studying and Learning, Coding and Programming",Sometimes,Moderately confident,Sometimes,Often,Sometimes,Often,Often,"Solve it independently, Use a combination of methods",No change,Decreased slightly,Sometimes,Compare both viewpoints,Moderately,Significantly,Sometimes,Somewhat Negative Effect,Positive,
24-06-2026 21:01,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,Studying and Learning,Sometimes,Moderately confident,Often,Often,Sometimes,Never,Often,Solve it independently,Increased significantly,Increased significantly,Sometimes,"Usually trust AI, Trust my own understanding completely",Moderately,Moderately,Sometimes,Somewhat Positive Effect,Positive,
24-06-2026 21:08,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Sometimes,Less than 15 minutes,Studying and Learning,Sometimes,Moderately confident,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,"Ask a teacher, colleague, or friend",Increased slightly,Increased slightly,Sometimes,Compare both viewpoints,Moderately,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
24-06-2026 22:17,,17,Female,Student,Higher Secondary,I do not use AI tools,Rarely,15–30 minutes,"Studying and Learning, Writing and Communication, Coding and Programming",Sometimes,Moderately confident,Often,Sometimes,Often,Sometimes,Sometimes,"Ask a teacher, colleague, or friend, Use a combination of methods",No change,Decreased slightly,Sometimes,Compare both viewpoints,Moderately,"Moderately, Significantly",Sometimes,Somewhat Negative Effect,Neutral,
24-06-2026 22:34,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication",Sometimes,Moderately confident,Always,Sometimes,Often,Rarely,Sometimes,"Ask a teacher, colleague, or friend",Increased slightly,No change,Sometimes,Compare both viewpoints,Moderately,Moderately,Sometimes,Somewhat Positive Effect,Neutral,
24-06-2026 23:30,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,30–60 minutes,"Studying and Learning, Research",Sometimes,Not confident at all,Often,Sometimes,Rarely,Rarely,Never,Ask AI,Increased slightly,Increased significantly,Sometimes,Compare both viewpoints,Moderately,Significantly,Rarely,Somewhat Negative Effect,Neutral,
24-06-2026 23:37,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Sometimes,Less than 15 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research, Entertainment, Other",Never,Moderately confident,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,"Ask a teacher, colleague, or friend, Use a combination of methods",No change,No change,Sometimes,Compare both viewpoints,Slightly,Moderately,Sometimes,No Effect,Positive,
25-06-2026 07:29,,17,Female,Student,Undergraduate,"ChatGPT, Gemini, Other",Sometimes,30–60 minutes,"Studying and Learning, Writing and Communication, Coding and Programming, Research, Entertainment, Other","Sometimes, Often","Slightly confident, Moderately confident",Sometimes,Sometimes,Sometimes,"Sometimes, Often",Sometimes,Use a combination of methods,Increased slightly,Increased slightly,Often,"Compare both viewpoints, Usually trust my own understanding",Moderately,"Moderately, Significantly","Rarely, Sometimes","Somewhat Negative Effect, Somewhat Positive Effect",Neutral,
25-06-2026 11:45,,17,Female,Student,Undergraduate,ChatGPT,Rarely,Less than 15 minutes,"Coding and Programming, Research",Rarely,Moderately confident,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,"Solve it independently, Ask a teacher, colleague, or friend, Use a combination of methods",Decreased slightly,Decreased slightly,Sometimes,"Compare both viewpoints, Usually trust my own understanding",Moderately,Moderately,Sometimes,Somewhat Positive Effect,Positive,
25-06-2026 12:52,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Sometimes,Less than 15 minutes,Writing and Communication,Rarely,Moderately confident,Often,Often,Sometimes,Always,Often,Ask AI,No change,Decreased slightly,Rarely,Compare both viewpoints,Slightly,Significantly,Sometimes,Somewhat Negative Effect,Neutral,
25-06-2026 23:05,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini",Sometimes,Less than 15 minutes,"Studying and Learning, Coding and Programming",Sometimes,Moderately confident,Sometimes,Sometimes,Often,Sometimes,Rarely,Use a combination of methods,Increased significantly,Decreased significantly,Never,Usually trust my own understanding,Significantly,Extremely,Sometimes,Strongly Negative Effect,Negative,
30-06-2026 07:37,,21–25 years,Female,Student,Undergraduate,"ChatGPT, Gemini",Very Often,More than 2 hours,"Studying and Learning, Writing and Communication, Coding and Programming, Research",Sometimes,Slightly confident,Always,Rarely,Often,Sometimes,Always,Use a combination of methods,Increased significantly,Decreased slightly,Rarely,Trust my own understanding completely,Significantly,Extremely,Always,Somewhat Negative Effect,Negative,
30-06-2026 10:21,,17years ,Male,Student,Higher Secondary,Gemini,Sometimes,15–30 minutes,Studying and Learning,Sometimes,Slightly confident,Always,Always,Often,Sometimes,Sometimes,Ask AI,No change,Increased slightly,Often,Usually trust my own understanding,Significantly,Significantly,Sometimes,Somewhat Positive Effect,Neutral,
